eventID ,case concept:name,case REG_DATE,case AMOUNT_REQ,event concept:name,event lifecycle:transition,event time:timestamp
0,173688,2011-10-01T00:38:44.546+02:00,20000,A_SUBMITTED,COMPLETE,38:44.5
1,173688,2011-10-01T00:38:44.546+02:00,20000,A_PARTLYSUBMITTED,COMPLETE,38:44.9
2,173688,2011-10-01T00:38:44.546+02:00,20000,A_PREACCEPTED,COMPLETE,39:37.9
3,173688,2011-10-01T00:38:44.546+02:00,20000,W_Completeren aanvraag,SCHEDULE,39:38.9
4294967296,173691,2011-10-01T08:08:58.256+02:00,5000,A_SUBMITTED,COMPLETE,08:58.3
4294967297,173691,2011-10-01T08:08:58.256+02:00,5000,A_PARTLYSUBMITTED,COMPLETE,09:02.2
4294967298,173691,2011-10-01T08:08:58.256+02:00,5000,A_PREACCEPTED,COMPLETE,09:56.6
4294967299,173691,2011-10-01T08:08:58.256+02:00,5000,W_Completeren aanvraag,SCHEDULE,09:59.6
8589934592,173694,2011-10-01T08:10:30.287+02:00,7000,A_SUBMITTED,COMPLETE,10:30.3
8589934593,173694,2011-10-01T08:10:30.287+02:00,7000,A_PARTLYSUBMITTED,COMPLETE,10:30.6
12884901888,173697,2011-10-01T08:11:08.865+02:00,15000,A_SUBMITTED,COMPLETE,11:08.9
12884901889,173697,2011-10-01T08:11:08.865+02:00,15000,A_PARTLYSUBMITTED,COMPLETE,11:09.0
8589934594,173694,2011-10-01T08:10:30.287+02:00,7000,A_PREACCEPTED,COMPLETE,11:13.0
8589934595,173694,2011-10-01T08:10:30.287+02:00,7000,W_Completeren aanvraag,SCHEDULE,11:13.4
12884901890,173697,2011-10-01T08:11:08.865+02:00,15000,A_DECLINED,COMPLETE,11:46.4
17179869184,173700,2011-10-01T08:15:39.894+02:00,5000,A_SUBMITTED,COMPLETE,15:39.9
17179869185,173700,2011-10-01T08:15:39.894+02:00,5000,A_PARTLYSUBMITTED,COMPLETE,15:40.1
17179869186,173700,2011-10-01T08:15:39.894+02:00,5000,A_DECLINED,COMPLETE,16:21.0
21474836480,173703,2011-10-01T09:45:25.806+02:00,13500,A_SUBMITTED,COMPLETE,45:25.8
21474836481,173703,2011-10-01T09:45:25.806+02:00,13500,A_PARTLYSUBMITTED,COMPLETE,45:26.0
25769803776,173706,2011-10-01T09:45:37.274+02:00,18000,A_SUBMITTED,COMPLETE,45:37.3
25769803777,173706,2011-10-01T09:45:37.274+02:00,18000,A_PARTLYSUBMITTED,COMPLETE,45:37.4
21474836482,173703,2011-10-01T09:45:25.806+02:00,13500,A_PREACCEPTED,COMPLETE,46:18.2
25769803778,173706,2011-10-01T09:45:37.274+02:00,18000,W_Afhandelen leads,SCHEDULE,46:18.6
21474836483,173703,2011-10-01T09:45:25.806+02:00,13500,W_Completeren aanvraag,SCHEDULE,46:18.7
30064771072,173709,2011-10-01T09:57:42.994+02:00,11000,A_SUBMITTED,COMPLETE,57:43.0
30064771073,173709,2011-10-01T09:57:42.994+02:00,11000,A_PARTLYSUBMITTED,COMPLETE,57:43.2
30064771074,173709,2011-10-01T09:57:42.994+02:00,11000,A_PREACCEPTED,COMPLETE,58:27.0
30064771075,173709,2011-10-01T09:57:42.994+02:00,11000,W_Completeren aanvraag,SCHEDULE,58:27.4
34359738368,173712,2011-10-01T09:58:30.533+02:00,30000,A_SUBMITTED,COMPLETE,58:30.5
34359738369,173712,2011-10-01T09:58:30.533+02:00,30000,A_PARTLYSUBMITTED,COMPLETE,58:30.7
34359738370,173712,2011-10-01T09:58:30.533+02:00,30000,W_Afhandelen leads,SCHEDULE,58:44.0
38654705664,173715,2011-10-01T09:59:10.501+02:00,45000,A_SUBMITTED,COMPLETE,59:10.5
38654705665,173715,2011-10-01T09:59:10.501+02:00,45000,A_PARTLYSUBMITTED,COMPLETE,59:10.8
38654705666,173715,2011-10-01T09:59:10.501+02:00,45000,A_PREACCEPTED,COMPLETE,59:42.7
38654705667,173715,2011-10-01T09:59:10.501+02:00,45000,W_Completeren aanvraag,SCHEDULE,59:43.1
34359738371,173712,2011-10-01T09:58:30.533+02:00,30000,W_Afhandelen leads,START,08:36.7
34359738372,173712,2011-10-01T09:58:30.533+02:00,30000,A_PREACCEPTED,COMPLETE,10:24.7
34359738373,173712,2011-10-01T09:58:30.533+02:00,30000,W_Completeren aanvraag,SCHEDULE,10:24.8
34359738374,173712,2011-10-01T09:58:30.533+02:00,30000,W_Afhandelen leads,COMPLETE,10:25.8
25769803779,173706,2011-10-01T09:45:37.274+02:00,18000,W_Afhandelen leads,START,15:43.9
25769803780,173706,2011-10-01T09:45:37.274+02:00,18000,A_PREACCEPTED,COMPLETE,16:49.0
25769803781,173706,2011-10-01T09:45:37.274+02:00,18000,W_Completeren aanvraag,SCHEDULE,16:49.0
25769803782,173706,2011-10-01T09:45:37.274+02:00,18000,W_Afhandelen leads,COMPLETE,16:49.8
30064771076,173709,2011-10-01T09:57:42.994+02:00,11000,W_Completeren aanvraag,START,26:42.2
30064771077,173709,2011-10-01T09:57:42.994+02:00,11000,W_Completeren aanvraag,COMPLETE,27:07.9
42949672960,173718,2011-10-01T10:37:39.362+02:00,15000,A_SUBMITTED,COMPLETE,37:39.4
42949672961,173718,2011-10-01T10:37:39.362+02:00,15000,A_PARTLYSUBMITTED,COMPLETE,37:39.7
42949672962,173718,2011-10-01T10:37:39.362+02:00,15000,A_PREACCEPTED,COMPLETE,38:21.0
42949672963,173718,2011-10-01T10:37:39.362+02:00,15000,W_Completeren aanvraag,SCHEDULE,38:21.4
42949672964,173718,2011-10-01T10:37:39.362+02:00,15000,W_Completeren aanvraag,START,38:48.5
42949672965,173718,2011-10-01T10:37:39.362+02:00,15000,A_ACCEPTED,COMPLETE,42:22.0
42949672967,173718,2011-10-01T10:37:39.362+02:00,15000,O_SELECTED,COMPLETE,44:40.7
42949672966,173718,2011-10-01T10:37:39.362+02:00,15000,A_FINALIZED,COMPLETE,44:40.7
42949672968,173718,2011-10-01T10:37:39.362+02:00,15000,O_CREATED,COMPLETE,44:42.7
42949672969,173718,2011-10-01T10:37:39.362+02:00,15000,O_SENT,COMPLETE,44:42.7
42949672970,173718,2011-10-01T10:37:39.362+02:00,15000,W_Nabellen offertes,SCHEDULE,44:42.8
42949672971,173718,2011-10-01T10:37:39.362+02:00,15000,W_Completeren aanvraag,COMPLETE,44:44.0
42949672972,173718,2011-10-01T10:37:39.362+02:00,15000,W_Nabellen offertes,START,44:54.0
42949672973,173718,2011-10-01T10:37:39.362+02:00,15000,W_Nabellen offertes,COMPLETE,44:59.0
42949672974,173718,2011-10-01T10:37:39.362+02:00,15000,W_Nabellen offertes,START,45:27.3
42949672975,173718,2011-10-01T10:37:39.362+02:00,15000,O_SELECTED,COMPLETE,46:52.9
42949672976,173718,2011-10-01T10:37:39.362+02:00,15000,O_CANCELLED,COMPLETE,46:52.9
42949672977,173718,2011-10-01T10:37:39.362+02:00,15000,O_CREATED,COMPLETE,46:54.2
42949672978,173718,2011-10-01T10:37:39.362+02:00,15000,O_SENT,COMPLETE,46:54.2
42949672979,173718,2011-10-01T10:37:39.362+02:00,15000,W_Nabellen offertes,SCHEDULE,46:54.3
42949672980,173718,2011-10-01T10:37:39.362+02:00,15000,W_Nabellen offertes,COMPLETE,46:56.6
42949672981,173718,2011-10-01T10:37:39.362+02:00,15000,W_Nabellen offertes,START,47:14.2
42949672982,173718,2011-10-01T10:37:39.362+02:00,15000,W_Nabellen offertes,COMPLETE,50:20.5
42949672983,173718,2011-10-01T10:37:39.362+02:00,15000,W_Nabellen offertes,START,50:29.5
42949672984,173718,2011-10-01T10:37:39.362+02:00,15000,W_Nabellen offertes,COMPLETE,50:34.7
