eventID ,case LoanGoal,case ApplicationType,case concept:name,case RequestedAmount,event Action,event org:resource,event concept:name,event EventOrigin,event EventID,event lifecycle:transition,event time:timestamp
0,Existing loan takeover,New credit,Application_652823628,20000,Created,User_1,A_Create Application,Application,Application_652823628,complete,51:15.3
1,Existing loan takeover,New credit,Application_652823628,20000,statechange,User_1,A_Submitted,Application,ApplState_1582051990,complete,51:15.4
2,Existing loan takeover,New credit,Application_652823628,20000,Created,User_1,W_Handle leads,Workflow,Workitem_1298499574,schedule,51:15.8
3,Existing loan takeover,New credit,Application_652823628,20000,Deleted,User_1,W_Handle leads,Workflow,Workitem_1673366067,withdraw,52:36.4
4,Existing loan takeover,New credit,Application_652823628,20000,Created,User_1,W_Complete application,Workflow,Workitem_1493664571,schedule,52:36.4
5,Existing loan takeover,New credit,Application_652823628,20000,statechange,User_1,A_Concept,Application,ApplState_642383566,complete,52:36.4
4294967296,Home improvement,New credit,Application_1691306052,10000,Created,User_1,A_Create Application,Application,Application_1691306052,complete,16:11.5
4294967297,Home improvement,New credit,Application_1691306052,10000,statechange,User_1,A_Submitted,Application,ApplState_284636842,complete,16:11.5
4294967298,Home improvement,New credit,Application_1691306052,10000,Created,User_1,W_Handle leads,Workflow,Workitem_831373279,schedule,16:11.7
4294967299,Home improvement,New credit,Application_1691306052,10000,Deleted,User_1,W_Handle leads,Workflow,Workitem_1299098074,withdraw,17:31.6
4294967300,Home improvement,New credit,Application_1691306052,10000,Created,User_1,W_Complete application,Workflow,Workitem_1703931302,schedule,17:31.6
4294967301,Home improvement,New credit,Application_1691306052,10000,statechange,User_1,A_Concept,Application,ApplState_421204851,complete,17:31.6
8589934592,Home improvement,New credit,Application_428409768,15000,Created,User_1,A_Create Application,Application,Application_428409768,complete,19:38.2
8589934593,Home improvement,New credit,Application_428409768,15000,statechange,User_1,A_Submitted,Application,ApplState_105207793,complete,19:38.2
8589934594,Home improvement,New credit,Application_428409768,15000,Created,User_1,W_Handle leads,Workflow,Workitem_1185806608,schedule,19:38.9
8589934595,Home improvement,New credit,Application_428409768,15000,Deleted,User_1,W_Handle leads,Workflow,Workitem_835967796,withdraw,20:37.4
8589934596,Home improvement,New credit,Application_428409768,15000,Created,User_1,W_Complete application,Workflow,Workitem_755889823,schedule,20:37.4
8589934597,Home improvement,New credit,Application_428409768,15000,statechange,User_1,A_Concept,Application,ApplState_1727723699,complete,20:37.4
12884901888,Car,New credit,Application_1746793196,5000,Created,User_1,A_Create Application,Application,Application_1746793196,complete,34:53.9
12884901889,Car,New credit,Application_1746793196,5000,statechange,User_1,A_Submitted,Application,ApplState_282472804,complete,34:53.9
12884901890,Car,New credit,Application_1746793196,5000,Created,User_1,W_Handle leads,Workflow,Workitem_1676837235,schedule,34:54.3
17179869184,Home improvement,New credit,Application_828200680,35000,Created,User_1,A_Create Application,Application,Application_828200680,complete,00:04.4
17179869185,Home improvement,New credit,Application_828200680,35000,statechange,User_1,A_Submitted,Application,ApplState_420123528,complete,00:04.4
17179869186,Home improvement,New credit,Application_828200680,35000,Created,User_1,W_Handle leads,Workflow,Workitem_1645277487,schedule,00:04.7
17179869187,Home improvement,New credit,Application_828200680,35000,Deleted,User_1,W_Handle leads,Workflow,Workitem_1902399339,withdraw,01:44.7
17179869188,Home improvement,New credit,Application_828200680,35000,Created,User_1,W_Complete application,Workflow,Workitem_1933317539,schedule,01:44.7
17179869189,Home improvement,New credit,Application_828200680,35000,statechange,User_1,A_Concept,Application,ApplState_281446729,complete,01:44.7
21474836480,Existing loan takeover,New credit,Application_1085880569,13000,Created,User_1,A_Create Application,Application,Application_1085880569,complete,05:19.9
21474836481,Existing loan takeover,New credit,Application_1085880569,13000,statechange,User_1,A_Submitted,Application,ApplState_736842791,complete,05:19.9
21474836482,Existing loan takeover,New credit,Application_1085880569,13000,Created,User_1,W_Handle leads,Workflow,Workitem_957861555,schedule,05:20.1
21474836483,Existing loan takeover,New credit,Application_1085880569,13000,Deleted,User_1,W_Handle leads,Workflow,Workitem_237665452,withdraw,06:26.3
21474836484,Existing loan takeover,New credit,Application_1085880569,13000,Created,User_1,W_Complete application,Workflow,Workitem_111979908,schedule,06:26.3
21474836485,Existing loan takeover,New credit,Application_1085880569,13000,statechange,User_1,A_Concept,Application,ApplState_1145436902,complete,06:26.3
25769803776,Existing loan takeover,New credit,Application_1266995739,7000,Created,User_1,A_Create Application,Application,Application_1266995739,complete,22:19.8
25769803777,Existing loan takeover,New credit,Application_1266995739,7000,statechange,User_1,A_Submitted,Application,ApplState_1503316651,complete,22:19.8
25769803778,Existing loan takeover,New credit,Application_1266995739,7000,Created,User_1,W_Handle leads,Workflow,Workitem_124706175,schedule,22:20.0
25769803779,Existing loan takeover,New credit,Application_1266995739,7000,Deleted,User_1,W_Handle leads,Workflow,Workitem_476094580,withdraw,23:29.5
25769803780,Existing loan takeover,New credit,Application_1266995739,7000,Created,User_1,W_Complete application,Workflow,Workitem_1061838630,schedule,23:29.5
